query,match,comments
Sphaerostephanos polycarpos (Blume) Copel.,Sphaerostephanos polycarpa (Blume) Copel.,NA
Sticherus brackenridgei (Fourn.) St.John,Sticherus brackenridgii (Fourn.) H.St.John,NA
Sticherus flabellatus (R.Br.) H.St.John,Sticherus flabellatus (R.Br.) St.John,NA
Sticherus tener Ching,Sticherus tenera (R.Br.) Ching,NA
Stigmatopteris ichtiosma (Sodiro) C.Chr.,Stigmatopteris ichthiosma (Sodiro) C.Chr.,NA
Struthiopteris spicant (L.) F.W.Weiss,Struthiopteris spicant (L.) Weiss,NA
Syngramma alismifolia C.Presl,Syngramma alismifolia (C.Presl) J.Sm.,NA
Syngramma borneensis Hook.,Syngramma borneensis (Hook.) J.Sm.,NA
Syngramma cartilagidens Baker,Syngramma cartilagidens (Baker) Diels,NA
Syngramma lobbiana Hook.,Syngramma lobbiana (Hook.) J.Sm.,NA
Syngramma valleculata Baker,Syngramma valleculata (Baker) C.Chr.,NA
Syngramma vittiformis J.Sm.,Syngramma vittiforme J.Sm.,NA
Syngramma wallichii Hook.,Syngramma wallichii (Hook.) Bedd.,NA
Tapeinidium denhami (Hook.) C.Chr.,Tapeinidium denhamii (Hook.) C.Chr.,NA
Tectaria jardini (Mett.) E.D.Br.,Tectaria jardinii (Mett.) E.D.Br.,NA
Tectaria marchionica E.D.Brown,Tectaria marchionica E.Brown,NA
Tectaria melanocaulos (Blume) Copel.,Tectaria melanocaula (Blume) Copel.,NA
Tectaria stenoptera Ching,Tectaria stenopteros (Baker) Ching,NA
Thelypteris arida (D.Don) C.V.Morton,Thelypteris arida (D.Don) Morton,NA
Thelypteris esquirolii var. glabrata (Christ) K.Iwats.,Thelypteris esquirolii (Christ) Ching,NA
Thelypteris hattorii var. nemoralis (Ching) Sa.Kurata,Thelypteris hattori var. nemoralis (Ching) Sa.Kurata,NA
Thelypteris x pseudoliukiuensis Seriz.,Thelypteris pseudoliukiuensis Seriz.,NA
Thylacopteris papillosa Kunze ex J.Sm.,Thylacopteris papillosa Kze.; J.Sm.,NA
Tmesipteris vieillardii P.A.Dang.,Tmesipteris vieillardii Dangeard,NA
Trichomanes ankersii C.Parker ex Hook. & Grev.,Trichomanes ankersii C.S.Parker ex Hook. & Grev.,NA
Trichomanes radicans type I,Trichomanes radicans Sw.,NA
Trichomanes radicans type I',Trichomanes radicans Sw.,NA
Trichomanes radicans type II,Trichomanes radicans Sw.,NA
Trichomanes radicans type III,Trichomanes radicans Sw.,NA
Trichomanes radicans type IV,Trichomanes radicans Sw.,NA
Trichomanes tanaicum J.W.Sturm,Trichomanes tanaicum Hk.; Sturm,NA
Trichomanes tubiflora (F.S.Wagner) Christenh.,Trichomanes tubiflorum (F.S.Wagner) Christenh.,NA
Trichomanes vittaria DC.,Trichomanes vittaria DC.; Poir.,NA
"Vandenboschia confusa Dubuisson, Deblauwe & Boucheron-Dubuisson","Vandenboschia confusa Dubuisson, Deblauwe & Bouch.-Dubuisson",NA
x Cystocarpium roskamianum Fraser-Jenk.,× Cystocarpium × roskamianum Fraser-Jenk.,NA
x Lindsaeosoria flynnii W.H.Wagner,× Lindsaeosoria × flynnii W.H.Wagner,NA
Arachniodes coadnata (Ching) Nakaike,Arachniodes coadunata (Ching) Nakaike,NA
Asplenium fontanum subsp. fontanum,Asplenium fontanum (L.) Bernh.,NA
Gymnocarpium dryopteris var. aokigaharaense Nakaike,Gymnocarpium dryopteris (L.) Newman,NA
Ophioderma pendulum L.,Ophioderma pendula (L.) C.Presl,NA
Diplazium okudairai,Diplazium okudairae Makino,NA
Asplenium foresiense Legrand,Asplenium forisiense Le Grand,spelling mistake in species name
Christella jinhongensis (Ching ex K.H.Shing) A.R.Sm. & S.E.Fawc.,Christella jinghongensis (Ching ex K.H.Shing) A.R.Sm. & S.E.Fawc.,spelling mistake in species name
